word,n,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
chowkidar,2184679484,0,0,0,0,0,0,0,0,0,0
modi,899938345,0,0,0,0,0,0,0,0,0,0
MainBhiChowkidar,752849768,0,0,0,0,0,0,0,0,0,1
nirav,440584270,0,0,0,0,0,0,0,0,0,0
india,432691762,0,0,0,0,0,0,0,0,0,0
arrested,382296091,0,0,0,0,0,0,0,0,0,0
govt,336861571,0,0,0,0,0,0,0,0,0,0
niravmodi,304432207,0,0,0,0,0,0,0,0,0,0
people,268200466,0,0,0,0,0,0,0,0,0,0
chowkidars,262991029,0,0,0,0,0,0,0,0,0,0
bjp,262549662,0,0,0,0,0,0,0,0,0,0
campaign,243975983,0,0,0,0,0,0,0,0,0,0
london,223636294,0,0,0,0,0,0,0,0,0,0
Thief*,222571198,0,0,0,0,0,0,0,0,1,0
pm,216742075,0,0,0,0,0,0,0,0,0,0
accept,189952511,0,0,0,0,0,0,0,0,0,0
rahul,177421404,0,0,0,0,0,0,0,0,0,0
Loans,177027846,0,0,0,0,0,0,0,0,1,0
crore,138459423,0,0,0,0,0,0,0,0,0,0
rahe,127742840,0,0,0,0,0,0,0,0,0,0
Indian,127057823,0,0,0,0,0,0,0,0,0,1
Fake,126933903,0,0,0,0,0,0,0,0,1,0
meet,126676486,0,0,0,0,0,0,0,0,0,0
saath,126162508,0,0,0,0,0,0,0,0,0,0
cocktail,125554430,0,0,0,0,0,0,0,0,0,0
Challenge,123995352,1,0,0,1,0,0,0,0,1,0
deny,123901913,1,0,0,0,0,0,0,0,0,0
mama,123882714,0,0,0,0,0,0,0,0,0,0
Clean*,123781645,0,0,0,0,0,0,0,0,0,1
bhanja,123759717,0,0,0,0,0,0,0,0,0,0
paak,123757518,0,0,0,0,0,0,0,0,0,0
aurjo,123699564,0,0,0,0,0,0,0,0,0,0
chief,118853164,0,0,0,0,0,0,0,0,0,0
idea,118650902,0,0,0,0,0,0,0,0,0,0
bhi,118021776,0,0,0,0,0,0,0,0,0,0
pay,114885664,0,1,0,0,1,0,0,1,0,0
dont,111554844,0,0,0,0,0,0,0,0,0,0
nation,111083734,0,0,0,0,0,0,0,1,0,0
lakh,110252715,0,0,0,0,0,0,0,0,0,0
Vote,108670196,1,1,0,0,1,1,1,1,0,1
type,108384633,0,0,0,0,0,0,0,0,0,0
country,107871351,0,0,0,0,0,0,0,0,0,0
mallya,101683101,0,0,0,0,0,0,0,0,0,0
congress,101203838,0,0,1,0,0,0,0,1,0,0
Looter*,99985428,0,0,0,0,0,0,0,0,1,0
Jobs,99003974,0,0,0,0,0,0,0,0,1,0
history,97021343,0,0,0,0,0,0,0,0,0,0
BJP Worshipper*,96312199,0,0,0,0,0,0,0,0,1,0
The Guard is a Thief*,234964114,0,0,0,0,0,0,0,0,1,0
gujarat,94603621,0,0,0,0,0,0,0,0,0,0
ji (yes/sir),94242201,0,0,0,0,0,0,0,0,0,0
prime,92728386,0,0,0,0,0,0,0,0,0,0
Muslim,91804519,0,0,0,0,0,0,0,0,1,0
economic,87731048,0,0,0,0,0,0,0,0,0,0
